#PRICE_GROUP;PRICE_MODEL;RUM;RESOURCE;RATING_TYPE;IMPACTED_RESOURCE_COUNTER
FIXED;DEFAULT_SETUP;DUR;EUR;EVENT;978
FIXED;FIXED_MINUTE;DUR;EUR;TIERED;978
MOBILE;DEFAULT_SETUP;DUR;EUR;EVENT;978
MOBILE;MOBILE_MINUTE;DUR;EUR;TIERED;978
BENELUX;DEFAULT_SETUP;DUR;EUR;EVENT;978
BENELUX;BENELUX_MINUTE;DUR;EUR;TIERED;978
EUROPE;DEFAULT_SETUP;DUR;EUR;EVENT;978
EUROPE;EUROPE_MINUTE;DUR;EUR;TIERED;978
PREMIUM;DEFAULT_SETUP;DUR;EUR;EVENT;978
PREMIUM;PREMIUM_MINUTE;DUR;EUR;TIERED;978
FREE;FREE;DUR;EUR;EVENT;978
